Wall time,Step,Value
1710858097.7589297,2325,346.0627136230469
1710858222.4412673,2333,352.9073791503906
1710858282.0406168,2336,341.9786682128906
1710858380.0035036,2343,338.9849548339844
1710858517.2320383,2353,334.46734619140625
1710858858.6325262,2360,338.28253173828125
1710859116.1142256,2374,355.04730224609375
1710859290.5390751,2390,325.1383972167969
1710859339.924462,2394,365.8047790527344
1710859342.5256824,2395,348.6261291503906
1710859361.8643765,2398,348.83392333984375
1710859366.149419,2399,365.3447570800781
1710860130.9689999,2429,354.9208984375
1710860160.8017209,2432,356.292724609375
1710860199.8786745,2436,348.1991882324219
1710860202.157592,2437,377.257080078125
1710860262.71779,2442,347.9132995605469
1710860272.031253,2443,351.9800720214844
1710860760.4454093,2455,349.05340576171875
1710860845.9544818,2463,356.8421630859375
1710860865.0414522,2465,353.5242614746094
1710860873.086435,2466,348.7073059082031
1710861158.4579134,2486,343.7801513671875
1710861240.1346915,2494,353.2908020019531
1710861284.1166525,2499,342.3625183105469
1710861302.5265615,2501,351.2071228027344
1710861357.2684207,2504,357.5544738769531
1710861597.1066737,2506,356.5005798339844
1710861606.5291069,2507,359.0723571777344
1710861755.5745027,2518,359.8760681152344
1710861770.3375943,2519,352.1095275878906
1710861802.3932796,2520,351.3024597167969
1710861848.983466,2522,359.4082946777344
1710861860.6755965,2524,360.7859191894531
1710861913.0850766,2529,354.3705749511719
1710861934.4707615,2531,359.1470642089844
1710862054.3616395,2539,353.52227783203125
1710862637.0306838,2566,359.0992736816406
1710862641.9252043,2567,359.048095703125
1710862780.8971326,2578,361.09429931640625
1710862781.1727552,2579,267.3406677246094
1710862946.7869394,2586,362.45953369140625
1710862978.727521,2589,368.3397216796875
1710862985.4508579,2590,355.8287658691406
1710863047.7625837,2593,360.518310546875
1710863289.7247875,2600,360.3343811035156
1710863386.5159233,2607,357.1445007324219
1710863560.9156199,2620,333.0950927734375
1710863664.7051227,2628,356.2513732910156
1710863676.0170605,2629,350.217529296875
1710863736.126278,2636,356.5843811035156
1710863783.4592915,2639,354.31964111328125
1710863799.2102206,2640,353.6827392578125
1710863812.0652215,2641,355.76287841796875
1710863855.3166602,2644,354.6534729003906
1710864318.1455119,2663,365.6801452636719
1710864398.9144664,2671,355.15228271484375
1710864406.2073355,2672,354.5498352050781
1710864471.7169826,2675,360.7254333496094
1710864588.4820778,2682,363.8041076660156
1710864687.7374506,2685,363.222900390625
1710864711.2674098,2687,352.8246765136719
1710864764.939464,2690,360.5956115722656
1710864938.4142864,2694,361.93243408203125
1710865049.255261,2703,360.2082214355469
1710865105.7748086,2709,355.33526611328125
1710865186.6034424,2714,358.83245849609375
1710865212.7933416,2718,350.3169860839844
1710865247.430629,2720,359.1322937011719
1710865377.2512927,2730,367.3063049316406
1710865416.9832892,2731,361.178955078125
1710865507.5166066,2735,363.7692565917969
1710865777.3323536,2740,358.6200866699219
1710865778.2632332,2741,368.49530029296875
1710865801.9319413,2742,354.790771484375
1710865825.553834,2745,364.60052490234375
1710865957.73102,2754,365.7216796875
1710865992.6386871,2755,370.84814453125
1710866002.5876217,2756,369.6788635253906
1710866114.922348,2761,365.1040344238281
1710866176.5200834,2766,366.6343688964844
1710866243.6099834,2769,361.56005859375
1710866291.7932456,2772,364.5466613769531
1710866346.5940819,2774,369.7466125488281
1710866366.5584962,2776,368.52069091796875
1710866427.6793585,2779,349.4541015625
1710866629.0189407,2786,383.3554382324219
1710866818.596953,2798,369.9677429199219
1710866838.974715,2800,369.2363586425781
1710867070.901205,2813,365.59130859375
1710867071.9980354,2814,365.1444396972656
1710867181.721618,2825,375.0287170410156
1710867482.9165378,2835,368.5016784667969
1710867595.9661016,2839,359.46795654296875
1710867733.1825485,2845,362.7540283203125
1710867845.1883488,2852,370.32354736328125
1710867860.4320927,2853,371.12353515625
1710867936.9629898,2858,376.28863525390625
1710867999.5694425,2862,354.8383483886719
1710868012.7399538,2863,363.99920654296875
1710868307.499416,2882,365.1786804199219
1710868346.0109053,2883,370.02838134765625
1710868442.2653496,2892,364.2577819824219
1710868471.3443923,2894,373.2322692871094
1710868498.1567833,2896,360.427978515625
1710868592.584306,2904,358.7119140625
1710868714.5045285,2912,370.2286376953125
1710868777.843079,2916,366.79852294921875
1710869095.803344,2919,367.7652282714844
1710869132.108644,2921,363.0663757324219
1710869132.7811465,2922,393.9576416015625
1710869182.4197443,2925,373.5623779296875
1710869241.377258,2931,373.3087158203125
1710869323.3158436,2935,353.5196228027344
1710869328.957116,2936,361.48992919921875
1710869512.070312,2950,379.6142272949219
1710869577.1321106,2953,374.96942138671875
1710869628.5478454,2956,365.8048400878906
1710869709.2212646,2963,369.4281311035156
1710869734.7032435,2966,371.3306884765625
1710869948.7373786,2968,367.7680969238281
1710870082.1934202,2974,376.5353088378906
1710870159.2768364,2979,374.3675537109375
1710870295.3330438,2985,378.3159484863281
1710870320.2886448,2987,377.809814453125
1710870437.1692696,2994,374.2977600097656
1710870488.9844887,2997,364.3888854980469
1710870518.65904,3000,378.1679382324219
1710870567.0545886,3003,379.16668701171875
1710870765.3526068,3011,379.6463623046875
1710870938.1161754,3020,360.7310791015625
1710871135.9577758,3030,373.8741760253906
1710871197.7397287,3035,403.2467956542969
1710871596.9417913,3048,382.1573181152344
1710871620.059139,3050,379.0978088378906
1710871887.0910797,3067,377.1650390625
